Person ID, Round, Investment, Returned, Trustfulness, Person Money, Bank Money, gpt-powered
1,1,20,39,Trustful,100,39,yes
1,2,2,3,Trustful,100,42,yes
1,3,30,44,Trustful,100,86,yes
1,5,20,29,Trustful,100,150,yes
1,6,10,27,Trustful,100,177,yes
1,7,30,45,Trustful,100,222,yes
1,8,50,72,Trustful,100,294,yes
1,9,40,17,Untrustful,100,311,yes
1,10,1,0,Untrustful,100,311,yes
1,11,50,85,Trustful,100,396,yes
1,12,50,52,Trustful,100,448,yes
1,13,40,57,Trustful,100,505,yes
1,14,10,12,Trustful,100,517,yes
1,15,40,44,Trustful,100,561,yes
1,16,90,110,Trustful,100,671,yes
1,17,100,241,Trustful,100,912,yes
1,18,100,209,Trustful,100,1121,yes
1,19,20,30,Trustful,100,1151,yes
1,20,40,42,Trustful,100,1193,yes
2,1,10,20,Trustful,100,1213,yes
1,1,20,25,Trustful,100,25,yes
1,2,20,22,Trustful,100,47,yes
2,2,1,0,Untrustful,100,47,yes
2,3,20,39,Trustful,100,86,yes
